"idServidor","MomentoRegistro","CPU","FrequenciaCPU","Memoria","MemoriaUsada","MemoriaTotal","Disco","DiscoEntrada","DiscoSaida","Upload","Download"
2222,"2023-08-01 10:00:00",20348034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2222,"2023-10-30 00:12:04",0.0,2400.0,84.1,0.6,0.9,19.1,1.9,3.83,70.9,669.6
2222,"2023-10-30 00:12:07",2.0,2400.0,84.2,0.6,0.9,19.1,1.91,3.83,70.9,669.6
2222,"2023-10-30 00:12:10",0.0,2400.0,84.2,0.6,0.9,19.1,1.92,3.83,70.9,669.7
2222,"2023-10-30 00:12:13",10.0,2400.0,84.6,0.6,0.9,19.1,1.94,3.83,84.8,697.1
2222,"2023-10-30 00:12:16",27.0,2400.0,85.0,0.6,0.9,19.1,2.0,3.84,146.4,819.0
2222,"2023-10-30 00:12:19",12.0,2400.0,85.4,0.6,0.9,19.1,2.05,3.84,204.1,932.8
2222,"2023-10-30 00:12:22",12.0,2400.0,86.1,0.7,0.9,19.1,2.07,3.84,265.3,1053.7
2222,"2023-10-30 00:12:25",13.0,2400.0,85.7,0.6,0.9,19.1,2.07,3.84,322.4,1166.5
2222,"2023-10-30 00:12:29",21.0,2400.0,85.8,0.6,0.9,19.1,2.08,3.84,374.5,1269.3
2222,"2023-10-30 00:12:32",10.0,2400.0,85.0,0.6,0.9,19.1,2.1,3.84,417.9,1355.1
2222,"2023-10-30 00:12:35",6.0,2400.0,85.6,0.6,0.9,19.1,2.1,3.84,447.0,1412.7
2222,"2023-10-30 00:12:38",12.0,2400.0,85.5,0.6,0.9,19.1,2.12,3.84,497.9,1513.4
2222,"2023-10-30 00:12:41",12.0,2400.0,85.5,0.6,0.9,19.1,2.13,3.84,549.5,1615.5
2222,"2023-10-30 00:12:44",12.0,2400.0,85.2,0.6,0.9,19.1,2.15,3.85,606.8,1728.5
2222,"2023-10-30 00:12:47",3.0,2400.0,85.1,0.6,0.9,19.1,2.15,3.85,620.0,1754.4
2222,"2023-10-30 00:12:51",7.0,2400.0,85.4,0.6,0.9,19.1,2.15,3.85,673.0,1859.4
2222,"2023-10-30 00:12:54",2.0,2400.0,85.4,0.6,0.9,19.1,2.16,3.85,695.3,1903.3
2222,"2023-10-30 00:12:57",0.0,2400.0,85.3,0.6,0.9,19.1,2.16,3.85,705.0,1922.5
2222,"2023-10-30 00:13:00",1.0,2400.0,85.4,0.6,0.9,19.1,2.16,3.85,707.5,1927.5
2222,"2023-10-30 00:13:03",1.0,2400.0,85.4,0.6,0.9,19.1,2.16,3.85,710.7,1933.7
2222,"2023-10-30 00:13:06",2.0,2400.0,85.0,0.6,0.9,19.1,2.16,3.85,716.8,1945.7
2222,"2023-10-30 00:13:09",10.0,2400.0,86.2,0.7,0.9,19.1,2.16,3.85,756.6,2024.2
2222,"2023-10-30 00:13:12",11.0,2400.0,86.0,0.7,0.9,19.1,2.17,3.86,835.9,2180.2
2222,"2023-10-30 00:13:16",11.0,2400.0,85.9,0.7,0.9,19.1,2.18,3.86,904.6,2315.4
2222,"2023-10-30 00:13:19",5.0,2400.0,86.0,0.7,0.9,19.1,2.18,3.86,943.1,2391.5
2222,"2023-10-30 00:13:22",4.0,2400.0,86.0,0.7,0.9,19.1,2.18,3.86,971.0,2446.6
2222,"2023-10-30 00:13:25",4.0,2400.0,86.0,0.7,0.9,19.1,2.18,3.86,1000.6,2504.8
2222,"2023-10-30 00:13:28",4.0,2400.0,86.0,0.7,0.9,19.1,2.18,3.86,1031.5,2566.0
2222,"2023-10-30 00:13:31",8.0,2400.0,85.5,0.6,0.9,19.1,2.18,3.86,1079.8,2661.6
2222,"2023-10-30 00:13:34",10.0,2400.0,86.4,0.7,0.9,19.1,2.19,3.86,1173.4,2846.4
2222,"2023-10-30 00:13:37",7.0,2400.0,86.5,0.7,0.9,19.1,2.19,3.86,1227.0,2952.4
2222,"2023-10-30 00:13:40",11.0,2400.0,86.5,0.7,0.9,19.1,2.19,3.87,1285.5,3067.7
2222,"2023-10-30 00:13:44",10.0,2400.0,86.5,0.7,0.9,19.1,2.2,3.87,1339.2,3173.7
2222,"2023-10-30 00:13:47",6.0,2400.0,86.5,0.7,0.9,19.1,2.2,3.87,1383.8,3261.6
2222,"2023-10-30 00:13:50",7.0,2400.0,86.5,0.7,0.9,19.1,2.2,3.87,1466.5,3424.6
2222,"2023-10-30 00:13:53",3.0,2400.0,86.5,0.7,0.9,19.1,2.2,3.87,1489.8,3470.5
2222,"2023-10-30 00:13:56",9.0,2400.0,86.5,0.7,0.9,19.1,2.2,3.87,1520.8,3531.4
2222,"2023-10-30 00:13:59",10.0,2400.0,86.6,0.7,0.9,19.1,2.2,3.87,1596.6,3681.0
2222,"2023-10-30 00:14:02",2.0,2400.0,87.0,0.7,0.9,19.1,2.2,3.87,1617.4,3722.0
2222,"2023-10-30 00:14:05",1.0,2400.0,85.9,0.7,0.9,19.1,2.2,3.87,1619.4,3725.8
2222,"2023-10-30 00:14:09",4.0,2400.0,86.0,0.7,0.9,19.1,2.2,3.88,1635.7,3758.1
2222,"2023-10-30 00:14:12",4.0,2400.0,86.4,0.7,0.9,19.1,2.2,3.88,1671.5,3828.6
2222,"2023-10-30 00:14:15",9.0,2400.0,86.4,0.7,0.9,19.1,2.21,3.88,1694.7,3874.6
2222,"2023-10-30 00:14:18",5.0,2400.0,86.0,0.7,0.9,19.1,2.22,3.88,1745.0,3974.1
2222,"2023-10-30 00:14:21",6.0,2400.0,86.2,0.7,0.9,19.1,2.23,3.88,1779.6,4042.6
2222,"2023-10-30 00:14:24",5.0,2400.0,86.2,0.7,0.9,19.1,2.23,3.88,1801.3,4085.8
2222,"2023-10-30 00:14:27",3.0,2400.0,86.4,0.7,0.9,19.1,2.23,3.88,1823.2,4129.0
2222,"2023-10-30 00:14:30",4.0,2400.0,86.5,0.7,0.9,19.1,2.23,3.88,1855.6,4193.0
2222,"2023-10-30 00:14:34",5.0,2400.0,86.6,0.7,0.9,19.1,2.24,3.88,1891.4,4263.5
2222,"2023-10-30 00:14:37",4.0,2400.0,86.6,0.7,0.9,19.1,2.24,3.89,1907.2,4294.7
2222,"2023-10-30 00:14:40",6.0,2400.0,85.9,0.7,0.9,19.1,2.25,3.89,1926.5,4332.8
2222,"2023-10-30 00:14:43",8.0,2400.0,86.2,0.7,0.9,19.1,2.25,3.89,1949.8,4378.9
2222,"2023-10-30 00:14:46",9.0,2400.0,86.2,0.7,0.9,19.1,2.25,3.89,1996.2,4470.5
2222,"2023-10-30 00:14:49",38.0,2400.0,85.9,0.7,0.9,19.1,2.26,3.89,2043.9,4564.9
2222,"2023-10-30 00:14:52",2.0,2400.0,85.6,0.6,0.9,19.1,2.27,3.89,2050.2,4577.2
2222,"2023-10-30 00:14:56",1.0,2400.0,85.8,0.7,0.9,19.1,2.27,3.89,2059.3,4595.2
2222,"2023-10-30 00:14:59",1.0,2400.0,85.8,0.7,0.9,19.1,2.27,3.89,2076.8,4629.6
2222,"2023-10-30 00:15:02",3.0,2400.0,85.8,0.7,0.9,19.1,2.27,3.89,2080.6,4637.1
2222,"2023-10-30 00:15:05",4.0,2400.0,86.1,0.7,0.9,19.1,2.27,3.9,2122.0,4718.8
2222,"2023-10-30 00:15:08",5.0,2400.0,86.4,0.7,0.9,19.1,2.27,3.9,2151.6,4777.3
2222,"2023-10-30 00:15:11",5.0,2400.0,86.4,0.7,0.9,19.1,2.27,3.9,2167.4,4808.3
2222,"2023-10-30 00:15:14",35.0,2400.0,85.7,0.6,0.9,19.1,2.3,3.9,2199.9,4873.1
2222,"2023-10-30 00:15:18",4.0,2400.0,86.0,0.7,0.9,19.1,2.32,3.9,2237.5,4946.9
2222,"2023-10-30 00:15:21",10.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.9,2316.7,5104.1
2222,"2023-10-30 00:15:24",3.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.9,2341.7,5153.0
2222,"2023-10-30 00:15:27",1.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.9,2350.3,5169.9
2222,"2023-10-30 00:15:30",8.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.9,2391.1,5250.5
2222,"2023-10-30 00:15:33",3.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.91,2433.3,5333.7
2222,"2023-10-30 00:15:36",7.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.91,2468.1,5402.5
2222,"2023-10-30 00:15:39",3.0,2400.0,86.1,0.7,0.9,19.1,2.32,3.91,2486.3,5438.2
2222,"2023-10-30 00:15:42",4.0,2400.0,86.1,0.7,0.9,19.1,2.33,3.91,2507.4,5480.0
2222,"2023-10-30 00:15:45",11.0,2400.0,85.7,0.6,0.9,19.1,2.36,3.91,2558.3,5580.5
2222,"2023-10-30 00:15:49",8.0,2400.0,85.5,0.6,0.9,19.1,2.37,3.91,2609.1,5681.2
2222,"2023-08-02 15:30:00",0.0,2475092.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
